customer_id,gender,age,segment,tenure_months,churn,avg_logins,avg_active_minutes,total_tickets,tickets_resolved,total_payments,failed_payments,avg_payment
CUST_00000,Male,59,Premium,30,0,13.6,593.4,2.0,1.0,3.0,0.0,60.18666666666667
CUST_00001,Female,26,Standard,24,0,16.2,628.2,1.0,1.0,2.0,0.0,83.735
CUST_00002,Male,51,Standard,48,0,15.5,585.0,2.0,2.0,1.0,0.0,85.42
CUST_00003,Male,67,Standard,55,0,12.5,776.0,,,,,
CUST_00004,Male,38,Standard,52,1,16.0,487.5,2.0,2.0,2.0,0.0,91.095
CUST_00005,Female,25,Premium,38,0,18.6,695.8,1.0,1.0,,,
CUST_00006,Male,39,Enterprise,67,0,15.666666666666666,648.1666666666666,1.0,1.0,2.0,1.0,110.55000000000001
CUST_00007,Male,46,Enterprise,8,0,14.571428571428571,590.4285714285714,,,,,
CUST_00008,Male,62,Enterprise,29,0,15.333333333333334,603.3333333333334,2.0,1.0,2.0,0.0,64.86
CUST_00009,Female,56,Premium,10,0,16.5,605.5,,,,,
CUST_00010,Male,67,Enterprise,69,1,5.0,577.0,4.0,3.0,4.0,0.0,72.665
CUST_00011,Male,26,Standard,68,1,13.0,465.0,,,1.0,0.0,67.63
CUST_00012,Male,24,Premium,49,0,17.0,595.6666666666666,3.0,2.0,1.0,0.0,91.11
CUST_00013,Male,30,Enterprise,58,0,12.25,587.75,1.0,1.0,1.0,0.0,57.15
CUST_00014,Female,34,Standard,35,0,,,1.0,1.0,1.0,1.0,74.68
CUST_00015,Male,22,Standard,50,0,13.5,473.0,3.0,2.0,4.0,1.0,72.2775
CUST_00016,Female,24,Premium,40,0,14.0,708.0,,,1.0,1.0,88.95
CUST_00017,Female,42,Premium,12,0,17.333333333333332,650.0,3.0,2.0,5.0,0.0,70.982
CUST_00018,Female,56,Enterprise,16,1,20.0,535.25,1.0,1.0,,,
CUST_00019,Male,28,Enterprise,48,0,11.0,707.0,3.0,3.0,1.0,0.0,85.89
CUST_00020,Female,34,Enterprise,1,0,12.25,684.75,,,2.0,0.0,84.575
CUST_00021,Male,22,Premium,65,0,12.5,500.5,1.0,1.0,2.0,0.0,64.67
CUST_00022,Female,48,Enterprise,22,0,13.571428571428571,731.7142857142857,1.0,1.0,2.0,0.0,95.625
CUST_00023,Female,25,Enterprise,15,0,17.333333333333332,725.0,,,1.0,0.0,66.21
CUST_00024,Female,36,Standard,67,0,12.0,712.0,3.0,3.0,3.0,0.0,87.17999999999999
CUST_00025,Female,45,Standard,14,0,16.0,394.0,1.0,1.0,1.0,0.0,60.02
CUST_00026,Female,40,Standard,19,1,13.0,628.5,1.0,1.0,5.0,0.0,100.898
CUST_00027,Female,27,Enterprise,40,0,14.0,647.2,,,1.0,0.0,95.12
CUST_00028,Female,40,Premium,4,0,13.0,598.6666666666666,,,1.0,0.0,74.71
CUST_00029,Female,30,Standard,33,1,17.5,582.75,,,5.0,0.0,94.09400000000001
CUST_00030,Male,57,Premium,43,0,15.5,610.5,,,1.0,0.0,68.86
CUST_00031,Male,27,Enterprise,37,0,15.5,538.0,3.0,3.0,3.0,1.0,90.94
CUST_00032,Female,61,Enterprise,66,0,14.4,598.4,,,2.0,0.0,85.88999999999999
CUST_00033,Female,43,Standard,27,0,14.5,654.5,,,,,
CUST_00034,Female,54,Premium,45,0,14.166666666666666,620.1666666666666,2.0,0.0,5.0,0.0,82.312
CUST_00035,Male,33,Standard,50,1,18.0,556.5,,,1.0,1.0,96.05
CUST_00036,Female,33,Enterprise,63,0,17.0,548.0,1.0,1.0,3.0,0.0,79.49666666666667
CUST_00037,Male,29,Premium,6,1,18.8,561.6,,,3.0,0.0,67.06333333333333
CUST_00038,Male,31,Standard,67,0,20.0,874.0,1.0,1.0,3.0,0.0,87.58666666666666
CUST_00039,Male,57,Enterprise,67,1,16.0,543.0,1.0,1.0,1.0,0.0,74.57
CUST_00040,Male,63,Standard,59,0,15.666666666666666,627.3333333333334,,,,,
CUST_00041,Male,65,Premium,13,0,9.5,516.5,1.0,1.0,4.0,0.0,102.6975
CUST_00042,Female,53,Premium,21,0,14.5,517.0,1.0,1.0,1.0,0.0,66.5
CUST_00043,Female,60,Premium,64,1,,,,,3.0,0.0,77.44333333333334
CUST_00044,Female,29,Premium,37,1,24.0,625.0,3.0,3.0,3.0,0.0,86.22666666666667
CUST_00045,Female,36,Premium,48,0,11.75,560.5,2.0,2.0,2.0,0.0,82.41
CUST_00046,Female,36,Standard,56,0,14.2,575.6,1.0,1.0,,,
CUST_00047,Male,22,Standard,44,1,15.25,560.5,1.0,0.0,1.0,0.0,87.25
CUST_00048,Female,50,Standard,13,1,17.0,709.0,,,4.0,0.0,89.62
CUST_00049,Female,20,Standard,4,0,15.5,537.5,,,5.0,1.0,76.464
CUST_00050,Male,31,Enterprise,33,0,15.25,576.25,1.0,0.0,,,
CUST_00051,Female,58,Enterprise,37,0,19.0,461.0,1.0,1.0,3.0,0.0,85.75
CUST_00052,Male,23,Standard,53,0,16.571428571428573,555.2857142857143,1.0,1.0,1.0,0.0,90.91
CUST_00053,Female,61,Enterprise,24,1,13.666666666666666,493.0,,,2.0,0.0,87.27
CUST_00054,Male,32,Enterprise,51,0,16.333333333333332,629.1666666666666,,,2.0,0.0,61.55499999999999
CUST_00055,Female,53,Premium,41,0,16.0,589.5,,,1.0,0.0,45.54
CUST_00056,Female,61,Standard,29,1,12.0,779.0,1.0,1.0,3.0,0.0,85.09333333333333
CUST_00057,Male,40,Enterprise,59,0,11.666666666666666,504.3333333333333,1.0,1.0,4.0,0.0,87.845
CUST_00058,Male,41,Enterprise,40,1,16.5,515.5,,,4.0,0.0,88.00999999999999
CUST_00059,Male,23,Standard,51,0,17.0,456.0,1.0,1.0,3.0,0.0,68.79666666666667
CUST_00060,Male,37,Premium,50,1,18.0,587.0,3.0,3.0,1.0,0.0,94.52
CUST_00061,Male,24,Standard,36,0,20.5,527.0,,,1.0,0.0,75.4
CUST_00062,Male,38,Premium,60,0,14.0,710.0,,,2.0,0.0,74.8
CUST_00063,Male,21,Enterprise,18,0,17.5,598.5,1.0,1.0,3.0,0.0,68.56333333333333
CUST_00064,Male,31,Premium,20,0,10.0,701.0,2.0,1.0,5.0,0.0,94.572
CUST_00065,Female,36,Premium,5,0,16.0,679.3333333333334,2.0,2.0,1.0,0.0,57.73
CUST_00066,Female,29,Standard,18,0,20.5,621.5,1.0,1.0,5.0,0.0,75.462
CUST_00067,Male,53,Enterprise,40,0,19.0,506.6666666666667,3.0,3.0,1.0,0.0,91.38
CUST_00068,Female,25,Standard,1,0,16.333333333333332,467.6666666666667,1.0,1.0,1.0,0.0,65.4
CUST_00069,Female,27,Standard,19,0,13.166666666666666,607.8333333333334,1.0,1.0,2.0,0.0,59.055
CUST_00070,Female,30,Enterprise,26,1,20.666666666666668,615.6666666666666,,,2.0,0.0,84.61
CUST_00071,Female,31,Standard,29,0,13.333333333333334,657.6666666666666,2.0,2.0,2.0,1.0,86.85499999999999
CUST_00072,Male,28,Standard,59,1,17.333333333333332,555.6666666666666,2.0,1.0,,,
CUST_00073,Female,21,Premium,63,0,14.25,593.0,1.0,0.0,1.0,0.0,71.62
CUST_00074,Male,27,Standard,62,1,13.0,722.0,1.0,0.0,4.0,0.0,80.94
CUST_00075,Female,30,Enterprise,48,0,16.0,642.3333333333334,,,,,
CUST_00076,Female,55,Standard,62,0,,,1.0,1.0,2.0,0.0,81.255
CUST_00077,Female,29,Premium,18,0,18.5,570.0,1.0,1.0,2.0,0.0,70.33
CUST_00078,Male,40,Standard,66,0,15.5,595.0,1.0,1.0,1.0,0.0,73.52
CUST_00079,Female,39,Standard,27,0,16.0,546.25,,,3.0,0.0,80.31333333333333
CUST_00080,Male,67,Standard,6,0,11.75,626.25,,,2.0,0.0,96.72
CUST_00081,Female,27,Premium,70,0,16.25,562.5,,,1.0,0.0,83.26
CUST_00082,Male,55,Enterprise,59,0,14.5,616.0,2.0,2.0,4.0,0.0,78.35499999999999
CUST_00083,Female,48,Enterprise,6,0,16.666666666666668,586.0,1.0,1.0,,,
CUST_00084,Male,61,Premium,31,0,15.0,582.25,2.0,2.0,,,
CUST_00085,Male,31,Premium,56,0,13.5,570.0,1.0,1.0,2.0,1.0,85.61
CUST_00086,Female,33,Standard,54,0,14.75,643.25,1.0,1.0,3.0,0.0,79.0
CUST_00087,Male,67,Enterprise,41,1,15.333333333333334,677.3333333333334,1.0,1.0,1.0,0.0,107.35
CUST_00088,Female,69,Premium,18,0,16.0,616.0,,,2.0,0.0,73.485
CUST_00089,Female,40,Enterprise,23,1,11.5,572.25,2.0,1.0,3.0,0.0,60.66333333333333
CUST_00090,Female,41,Standard,36,0,12.0,638.5,,,4.0,1.0,69.455
CUST_00091,Female,40,Premium,25,1,14.75,637.25,,,,,
CUST_00092,Female,63,Enterprise,7,0,18.0,509.0,1.0,1.0,2.0,1.0,86.92
CUST_00093,Female,69,Enterprise,20,0,14.75,586.25,1.0,1.0,1.0,0.0,82.44
CUST_00094,Female,49,Standard,5,0,17.666666666666668,663.0,,,3.0,0.0,73.33333333333333
CUST_00095,Female,58,Premium,18,0,17.0,725.2,1.0,1.0,2.0,0.0,96.69
CUST_00096,Female,39,Enterprise,33,0,13.0,618.0,1.0,1.0,1.0,0.0,44.46
CUST_00097,Female,43,Standard,35,1,14.5,638.5,1.0,1.0,1.0,0.0,87.18
CUST_00098,Female,42,Enterprise,65,1,14.5,579.6666666666666,,,1.0,0.0,51.43
CUST_00099,Male,26,Standard,63,0,14.0,602.0,2.0,2.0,1.0,0.0,84.06
CUST_00100,Male,28,Enterprise,71,1,12.6,616.2,1.0,1.0,1.0,0.0,89.46
CUST_00101,Female,20,Enterprise,41,1,16.6,586.0,,,3.0,0.0,96.06333333333333
CUST_00102,Female,45,Standard,50,0,16.0,633.0,,,2.0,0.0,57.144999999999996
CUST_00103,Female,57,Premium,30,1,12.25,611.0,,,2.0,0.0,92.575
CUST_00104,Female,57,Standard,38,0,15.2,522.4,1.0,0.0,2.0,0.0,83.36500000000001
CUST_00105,Female,63,Premium,35,0,12.0,464.0,3.0,2.0,2.0,0.0,85.58500000000001
CUST_00106,Female,41,Enterprise,66,0,21.0,632.0,1.0,1.0,2.0,0.0,68.77000000000001
CUST_00107,Female,63,Enterprise,46,1,14.25,606.75,1.0,1.0,4.0,0.0,78.705
CUST_00108,Female,29,Standard,8,0,14.0,583.6,,,1.0,0.0,73.58
CUST_00109,Male,25,Standard,68,0,14.5,656.75,,,2.0,0.0,100.765
CUST_00110,Female,36,Premium,37,0,13.5,668.0,3.0,3.0,2.0,0.0,50.525
CUST_00111,Male,69,Premium,13,0,14.0,544.4444444444445,1.0,1.0,2.0,0.0,89.495
CUST_00112,Female,57,Premium,45,0,11.2,633.0,,,3.0,0.0,86.60333333333334
CUST_00113,Female,43,Standard,29,0,14.25,600.75,,,1.0,0.0,102.68
CUST_00114,Male,29,Enterprise,41,0,16.0,788.0,,,2.0,0.0,80.00999999999999
CUST_00115,Female,27,Standard,56,0,17.0,614.0,,,2.0,0.0,98.85499999999999
CUST_00116,Male,40,Enterprise,16,0,16.0,469.0,,,,,
CUST_00117,Female,25,Standard,12,1,17.0,551.4,1.0,1.0,1.0,0.0,53.84
CUST_00118,Female,40,Standard,66,1,18.0,513.5,,,3.0,0.0,86.21333333333332
CUST_00119,Male,58,Premium,62,0,19.333333333333332,641.6666666666666,,,1.0,0.0,98.51
CUST_00120,Female,43,Enterprise,19,0,12.75,686.75,1.0,1.0,3.0,1.0,78.30333333333333
CUST_00121,Male,52,Standard,30,1,13.666666666666666,628.3333333333334,2.0,2.0,3.0,0.0,59.39333333333334
CUST_00122,Female,37,Standard,16,0,13.25,578.5,,,1.0,0.0,73.32
CUST_00123,Male,47,Enterprise,13,0,13.833333333333334,634.5,1.0,0.0,1.0,0.0,89.66
CUST_00124,Male,51,Standard,69,0,,,1.0,1.0,3.0,0.0,60.96
CUST_00125,Female,31,Enterprise,23,0,14.0,638.2,,,1.0,0.0,97.8
CUST_00126,Female,67,Premium,62,0,11.75,592.0,2.0,1.0,,,
CUST_00127,Male,61,Premium,31,0,12.0,762.0,1.0,1.0,2.0,0.0,83.10499999999999
CUST_00128,Female,46,Enterprise,53,0,18.0,487.0,1.0,1.0,2.0,0.0,78.51
CUST_00129,Female,29,Premium,17,0,11.5,517.5,2.0,2.0,2.0,0.0,75.17
CUST_00130,Female,65,Enterprise,49,1,15.666666666666666,635.6666666666666,1.0,1.0,1.0,0.0,96.47
CUST_00131,Male,61,Standard,49,0,17.333333333333332,545.0,2.0,2.0,3.0,0.0,64.47666666666667
CUST_00132,Male,51,Standard,67,0,15.0,607.3333333333334,2.0,2.0,2.0,0.0,82.88
CUST_00133,Male,61,Enterprise,26,0,15.0,500.0,,,1.0,0.0,74.22
CUST_00134,Male,45,Standard,13,0,15.0,634.3333333333334,1.0,1.0,,,
CUST_00135,Male,44,Premium,38,0,20.5,670.0,1.0,1.0,,,
CUST_00136,Male,30,Standard,22,0,14.166666666666666,643.6666666666666,3.0,3.0,2.0,0.0,81.345
CUST_00137,Male,42,Standard,29,0,16.666666666666668,684.6666666666666,1.0,1.0,3.0,0.0,96.86333333333333
CUST_00138,Male,53,Enterprise,45,0,18.0,514.6666666666666,2.0,2.0,1.0,0.0,82.1
CUST_00139,Male,59,Premium,46,0,10.0,668.5,1.0,1.0,3.0,1.0,79.44333333333333
CUST_00140,Female,42,Standard,39,1,18.5,568.5,,,,,
CUST_00141,Male,48,Standard,69,1,19.0,582.0,,,5.0,0.0,97.704
CUST_00142,Female,50,Enterprise,68,1,14.333333333333334,581.6666666666666,,,1.0,0.0,75.97
CUST_00143,Female,26,Enterprise,39,1,13.666666666666666,642.3333333333334,1.0,1.0,3.0,1.0,70.87666666666667
CUST_00144,Female,59,Premium,20,0,13.5,570.5,2.0,1.0,3.0,0.0,79.35333333333334
CUST_00145,Male,52,Standard,68,1,12.0,535.3333333333334,,,5.0,0.0,92.598
CUST_00146,Male,40,Enterprise,35,0,12.666666666666666,490.3333333333333,,,2.0,0.0,72.905
CUST_00147,Male,21,Enterprise,8,0,11.0,620.0,2.0,2.0,5.0,0.0,80.216
CUST_00148,Male,37,Enterprise,52,0,17.666666666666668,563.6666666666666,2.0,2.0,,,
CUST_00149,Female,66,Premium,40,1,12.5,464.5,2.0,2.0,1.0,0.0,60.88
CUST_00150,Male,52,Enterprise,36,0,17.666666666666668,581.0,3.0,2.0,5.0,0.0,79.854
CUST_00151,Male,56,Premium,6,0,13.0,677.0,,,2.0,0.0,73.11
CUST_00152,Male,53,Premium,70,1,13.666666666666666,714.6666666666666,2.0,1.0,5.0,1.0,89.89
CUST_00153,Male,39,Standard,16,0,15.0,645.5,1.0,1.0,3.0,0.0,91.49333333333334
CUST_00154,Male,54,Standard,46,0,16.333333333333332,616.3333333333334,1.0,0.0,,,
CUST_00155,Female,69,Premium,59,0,15.25,569.5,,,1.0,0.0,66.66
CUST_00156,Male,37,Standard,38,1,16.0,669.0,,,2.0,0.0,51.8
CUST_00157,Female,65,Standard,18,1,15.4,659.0,2.0,2.0,1.0,0.0,32.12
CUST_00158,Male,43,Enterprise,12,1,11.666666666666666,585.3333333333334,2.0,1.0,2.0,0.0,84.375
CUST_00159,Female,27,Standard,54,0,21.0,471.0,,,2.0,0.0,95.99000000000001
CUST_00160,Male,49,Premium,47,0,16.666666666666668,579.0,1.0,1.0,1.0,0.0,101.02
