payment_id,customer_id,amount,status
PAY_00000,CUST_02525,97.56,Success
PAY_00001,CUST_05503,81.72,Success
PAY_00002,CUST_04613,73.88,Success
PAY_00003,CUST_00835,92.83,Success
PAY_00004,CUST_09581,76.21,Success
PAY_00005,CUST_01531,99.24,Success
PAY_00006,CUST_01064,67.69,Success
PAY_00007,CUST_09588,68.64,Success
PAY_00008,CUST_00708,60.8,Success
PAY_00009,CUST_02406,72.45,Success
PAY_00010,CUST_01924,61.59,Success
PAY_00011,CUST_03612,94.06,Success
PAY_00012,CUST_02062,77.28,Success
PAY_00013,CUST_07349,79.6,Success
PAY_00014,CUST_02206,62.95,Success
PAY_00015,CUST_04774,59.57,Success
PAY_00016,CUST_00663,99.99,Success
PAY_00017,CUST_00207,68.44,Success
PAY_00018,CUST_05703,96.02,Success
PAY_00019,CUST_08771,47.57,Success
PAY_00020,CUST_08945,52.61,Success
PAY_00021,CUST_08590,60.71,Success
PAY_00022,CUST_07910,64.27,Success
PAY_00023,CUST_00591,100.01,Success
PAY_00024,CUST_03027,95.77,Success
PAY_00025,CUST_09450,67.61,Success
PAY_00026,CUST_03238,69.63,Success
PAY_00027,CUST_07719,75.79,Success
PAY_00028,CUST_00064,105.66,Success
PAY_00029,CUST_01505,128.92,Success
PAY_00030,CUST_08884,85.92,Success
PAY_00031,CUST_03774,71.63,Success
PAY_00032,CUST_09593,112.22,Success
PAY_00033,CUST_02735,124.93,Success
PAY_00034,CUST_07149,77.34,Success
PAY_00035,CUST_01048,98.69,Success
PAY_00036,CUST_02166,81.03,Success
PAY_00037,CUST_03462,80.62,Success
PAY_00038,CUST_02673,86.24,Success
PAY_00039,CUST_06305,61.23,Success
PAY_00040,CUST_09977,83.41,Success
PAY_00041,CUST_02478,105.74,Success
PAY_00042,CUST_01669,72.79,Success
PAY_00043,CUST_04739,62.67,Success
PAY_00044,CUST_05653,86.99,Success
PAY_00045,CUST_05492,52.36,Success
PAY_00046,CUST_09570,82.55,Success
PAY_00047,CUST_02142,84.36,Success
PAY_00048,CUST_09686,65.06,Success
PAY_00049,CUST_01168,82.88,Success
PAY_00050,CUST_03123,98.53,Success
PAY_00051,CUST_01047,74.55,Success
PAY_00052,CUST_04767,51.72,Success
PAY_00053,CUST_00888,66.93,Success
PAY_00054,CUST_03761,70.6,Success
PAY_00055,CUST_01993,103.51,Success
PAY_00056,CUST_05773,61.46,Success
PAY_00057,CUST_09150,70.05,Success
PAY_00058,CUST_07365,76.68,Success
PAY_00059,CUST_08413,57.18,Failed
PAY_00060,CUST_04868,37.58,Success
PAY_00061,CUST_05326,38.45,Success
PAY_00062,CUST_03259,54.43,Success
PAY_00063,CUST_05873,86.19,Success
PAY_00064,CUST_00368,75.01,Success
PAY_00065,CUST_07109,77.05,Success
PAY_00066,CUST_08246,56.93,Success
PAY_00067,CUST_03811,72.87,Success
PAY_00068,CUST_09904,63.64,Success
PAY_00069,CUST_06839,62.19,Success
PAY_00070,CUST_06787,100.46,Success
PAY_00071,CUST_08868,98.72,Success
PAY_00072,CUST_09395,94.3,Success
PAY_00073,CUST_06156,87.92,Success
PAY_00074,CUST_00476,91.59,Failed
PAY_00075,CUST_03582,123.02,Success
PAY_00076,CUST_02048,79.63,Success
PAY_00077,CUST_02130,85.86,Success
PAY_00078,CUST_02159,115.41,Success
PAY_00079,CUST_05984,124.48,Failed
PAY_00080,CUST_02746,72.12,Success
PAY_00081,CUST_07263,125.04,Success
PAY_00082,CUST_03810,54.34,Success
PAY_00083,CUST_06290,44.48,Success
PAY_00084,CUST_07229,60.36,Success
PAY_00085,CUST_08258,61.44,Success
PAY_00086,CUST_03133,97.96,Success
PAY_00087,CUST_06076,108.6,Success
PAY_00088,CUST_09910,70.19,Success
PAY_00089,CUST_06165,98.29,Success
PAY_00090,CUST_09258,64.73,Success
PAY_00091,CUST_02453,67.92,Failed
PAY_00092,CUST_01311,121.77,Success
PAY_00093,CUST_07163,114.6,Success
PAY_00094,CUST_08307,69.06,Success
PAY_00095,CUST_08306,54.72,Success
PAY_00096,CUST_04305,106.37,Success
PAY_00097,CUST_03063,76.14,Success
PAY_00098,CUST_01869,117.59,Failed
PAY_00099,CUST_00734,73.68,Success
PAY_00100,CUST_09453,42.12,Success
PAY_00101,CUST_09616,65.24,Success
PAY_00102,CUST_00589,99.36,Success
PAY_00103,CUST_09544,98.02,Success
PAY_00104,CUST_08506,89.17,Success
PAY_00105,CUST_07564,95.01,Success
PAY_00106,CUST_09247,68.6,Success
PAY_00107,CUST_01864,107.12,Success
PAY_00108,CUST_05197,88.24,Success
PAY_00109,CUST_01122,79.41,Success
PAY_00110,CUST_02621,66.1,Failed
PAY_00111,CUST_08334,57.87,Success
PAY_00112,CUST_04061,89.13,Success
PAY_00113,CUST_09065,95.31,Success
PAY_00114,CUST_01564,55.28,Success
PAY_00115,CUST_00327,76.17,Failed
PAY_00116,CUST_01067,94.71,Success
PAY_00117,CUST_07195,61.97,Failed
PAY_00118,CUST_06664,77.06,Success
PAY_00119,CUST_09535,87.64,Failed
PAY_00120,CUST_02155,98.77,Success
PAY_00121,CUST_01706,84.92,Failed
PAY_00122,CUST_01182,91.33,Success
PAY_00123,CUST_02648,102.47,Success
PAY_00124,CUST_04620,97.37,Success
PAY_00125,CUST_02949,81.32,Failed
PAY_00126,CUST_01880,72.79,Failed
PAY_00127,CUST_05819,93.42,Success
PAY_00128,CUST_05953,62.65,Success
PAY_00129,CUST_06712,66.98,Success
PAY_00130,CUST_01070,114.46,Success
PAY_00131,CUST_09145,91.49,Success
PAY_00132,CUST_07433,121.39,Success
PAY_00133,CUST_02537,110.57,Success
PAY_00134,CUST_04942,75.26,Success
PAY_00135,CUST_05161,108.08,Success
PAY_00136,CUST_09129,80.78,Success
PAY_00137,CUST_08693,98.85,Success
PAY_00138,CUST_00164,93.05,Success
PAY_00139,CUST_05769,84.82,Failed
PAY_00140,CUST_03371,95.27,Success
PAY_00141,CUST_09740,61.08,Success
PAY_00142,CUST_03260,91.46,Success
PAY_00143,CUST_07306,34.57,Success
PAY_00144,CUST_08369,93.62,Success
PAY_00145,CUST_09150,110.62,Success
PAY_00146,CUST_09450,40.42,Success
PAY_00147,CUST_01080,34.26,Success
PAY_00148,CUST_04477,82.62,Success
PAY_00149,CUST_03932,99.5,Success
PAY_00150,CUST_08530,95.45,Success
PAY_00151,CUST_09560,62.76,Success
PAY_00152,CUST_09147,90.41,Success
PAY_00153,CUST_09899,57.57,Success
PAY_00154,CUST_01835,66.82,Success
PAY_00155,CUST_05884,107.07,Success
PAY_00156,CUST_01342,93.51,Success
PAY_00157,CUST_05127,96.48,Success
PAY_00158,CUST_06821,74.72,Success
PAY_00159,CUST_08670,111.31,Success
PAY_00160,CUST_05661,89.02,Success
PAY_00161,CUST_04769,91.09,Success
PAY_00162,CUST_04019,119.88,Success
PAY_00163,CUST_03968,97.69,Success
PAY_00164,CUST_04236,97.03,Success
PAY_00165,CUST_06751,72.28,Success
PAY_00166,CUST_06687,67.6,Failed
PAY_00167,CUST_01308,99.32,Success
PAY_00168,CUST_08639,73.17,Success
PAY_00169,CUST_04588,72.37,Success
PAY_00170,CUST_07954,101.55,Success
PAY_00171,CUST_00941,84.91,Success
PAY_00172,CUST_09073,81.46,Success
PAY_00173,CUST_03288,79.4,Failed
PAY_00174,CUST_05312,79.39,Success
PAY_00175,CUST_03291,86.43,Success
PAY_00176,CUST_00245,90.63,Success
PAY_00177,CUST_09907,42.62,Success
PAY_00178,CUST_07294,79.86,Success
PAY_00179,CUST_07298,58.75,Success
PAY_00180,CUST_06022,79.79,Success
PAY_00181,CUST_01653,102.03,Success
PAY_00182,CUST_03569,30.13,Success
PAY_00183,CUST_01064,84.55,Success
PAY_00184,CUST_02538,67.61,Success
PAY_00185,CUST_00145,93.03,Success
PAY_00186,CUST_06904,43.83,Success
PAY_00187,CUST_01511,117.8,Success
PAY_00188,CUST_02021,62.15,Success
PAY_00189,CUST_09872,78.46,Success
PAY_00190,CUST_07326,41.39,Success
PAY_00191,CUST_03818,46.74,Success
PAY_00192,CUST_00398,48.86,Success
PAY_00193,CUST_03219,72.65,Success
PAY_00194,CUST_04275,95.91,Success
PAY_00195,CUST_07985,94.87,Success
PAY_00196,CUST_01220,102.24,Success
PAY_00197,CUST_04190,88.66,Success
PAY_00198,CUST_00339,76.27,Success
PAY_00199,CUST_05791,69.46,Success
PAY_00200,CUST_06512,87.74,Success
PAY_00201,CUST_00700,67.2,Success
PAY_00202,CUST_00591,104.35,Success
PAY_00203,CUST_01121,48.75,Success
PAY_00204,CUST_09653,111.21,Success
PAY_00205,CUST_03806,111.35,Success
PAY_00206,CUST_02712,63.03,Success
PAY_00207,CUST_08846,103.08,Success
PAY_00208,CUST_00349,78.72,Success
PAY_00209,CUST_06524,83.23,Failed
PAY_00210,CUST_09969,92.21,Success
PAY_00211,CUST_04332,84.66,Success
PAY_00212,CUST_00912,65.56,Success
PAY_00213,CUST_07390,85.79,Success
PAY_00214,CUST_01369,85.32,Success
PAY_00215,CUST_01303,119.07,Success
PAY_00216,CUST_01554,70.62,Success
PAY_00217,CUST_09865,74.08,Success
PAY_00218,CUST_03606,71.26,Success
PAY_00219,CUST_03652,86.03,Success
PAY_00220,CUST_00182,77.41,Success
PAY_00221,CUST_05074,78.01,Success
PAY_00222,CUST_08179,40.97,Success
PAY_00223,CUST_05441,90.31,Success
PAY_00224,CUST_07499,96.5,Success
PAY_00225,CUST_08518,64.01,Success
PAY_00226,CUST_05384,71.36,Success
PAY_00227,CUST_08071,86.33,Success
PAY_00228,CUST_04797,101.42,Success
PAY_00229,CUST_07286,118.51,Success
PAY_00230,CUST_09903,105.21,Success
PAY_00231,CUST_09678,77.84,Success
PAY_00232,CUST_04010,76.52,Success
PAY_00233,CUST_00693,51.21,Success
PAY_00234,CUST_06879,80.75,Success
PAY_00235,CUST_08630,86.01,Success
PAY_00236,CUST_04502,90.39,Success
PAY_00237,CUST_05034,71.85,Success
PAY_00238,CUST_06337,69.0,Success
PAY_00239,CUST_05321,98.91,Success
PAY_00240,CUST_01982,79.43,Success
PAY_00241,CUST_03158,82.25,Success
PAY_00242,CUST_04297,97.31,Success
PAY_00243,CUST_01292,60.16,Success
PAY_00244,CUST_05676,76.35,Success
PAY_00245,CUST_09111,59.11,Success
PAY_00246,CUST_08805,69.61,Success
PAY_00247,CUST_00677,82.71,Success
PAY_00248,CUST_07910,77.15,Success
PAY_00249,CUST_07571,58.99,Success
PAY_00250,CUST_02829,80.55,Success
PAY_00251,CUST_02223,108.2,Success
PAY_00252,CUST_03965,61.37,Success
PAY_00253,CUST_07804,63.74,Success
PAY_00254,CUST_09796,77.31,Success
PAY_00255,CUST_06587,86.06,Failed
PAY_00256,CUST_06576,63.29,Success
PAY_00257,CUST_06104,60.89,Success
PAY_00258,CUST_07216,81.1,Success
