ticket_id,customer_id,issue_type,resolved
TIC_00000,CUST_09595,Technical,Yes
TIC_00001,CUST_00644,General,Yes
TIC_00002,CUST_05059,Billing,Yes
TIC_00003,CUST_08969,Billing,Yes
TIC_00004,CUST_07782,General,Yes
TIC_00005,CUST_05745,Billing,Yes
TIC_00006,CUST_09568,Technical,Yes
TIC_00007,CUST_05417,Billing,Yes
TIC_00008,CUST_08201,Billing,Yes
TIC_00009,CUST_04843,Billing,Yes
TIC_00010,CUST_02479,Technical,Yes
TIC_00011,CUST_01951,Technical,Yes
TIC_00012,CUST_04820,Technical,Yes
TIC_00013,CUST_03668,Billing,Yes
TIC_00014,CUST_03835,Billing,Yes
TIC_00015,CUST_04387,Billing,No
TIC_00016,CUST_00672,Technical,Yes
TIC_00017,CUST_02073,Billing,Yes
TIC_00018,CUST_01577,General,Yes
TIC_00019,CUST_07406,Billing,Yes
TIC_00020,CUST_06316,Billing,Yes
TIC_00021,CUST_02471,General,Yes
TIC_00022,CUST_03029,General,Yes
TIC_00023,CUST_07644,Billing,Yes
TIC_00024,CUST_07919,General,No
TIC_00025,CUST_01839,General,Yes
TIC_00026,CUST_03007,General,No
TIC_00027,CUST_08066,General,Yes
TIC_00028,CUST_05919,Technical,Yes
TIC_00029,CUST_03441,General,Yes
TIC_00030,CUST_07988,Billing,Yes
TIC_00031,CUST_01366,Technical,Yes
TIC_00032,CUST_06601,General,Yes
TIC_00033,CUST_02228,General,Yes
TIC_00034,CUST_05245,Technical,Yes
TIC_00035,CUST_02477,Billing,Yes
TIC_00036,CUST_04534,Billing,Yes
TIC_00037,CUST_02595,Billing,Yes
TIC_00038,CUST_02631,Billing,Yes
TIC_00039,CUST_02376,Billing,Yes
TIC_00040,CUST_01747,Technical,Yes
TIC_00041,CUST_00072,Technical,No
TIC_00042,CUST_02757,General,Yes
TIC_00043,CUST_07709,General,Yes
TIC_00044,CUST_07095,General,No
TIC_00045,CUST_07451,Billing,Yes
TIC_00046,CUST_03537,Billing,Yes
TIC_00047,CUST_07577,Technical,Yes
TIC_00048,CUST_06884,Technical,Yes
TIC_00049,CUST_09568,Technical,No
TIC_00050,CUST_08838,Technical,Yes
TIC_00051,CUST_02797,General,Yes
TIC_00052,CUST_02704,Billing,No
TIC_00053,CUST_09790,Billing,Yes
TIC_00054,CUST_06915,Technical,Yes
TIC_00055,CUST_07360,General,Yes
TIC_00056,CUST_05154,Technical,Yes
TIC_00057,CUST_01071,General,Yes
TIC_00058,CUST_00393,General,Yes
TIC_00059,CUST_01473,Technical,Yes
TIC_00060,CUST_02581,Billing,No
TIC_00061,CUST_05442,General,Yes
TIC_00062,CUST_01318,General,Yes
TIC_00063,CUST_00162,Technical,Yes
TIC_00064,CUST_04348,Billing,Yes
TIC_00065,CUST_01979,General,Yes
TIC_00066,CUST_08070,General,Yes
TIC_00067,CUST_04813,General,No
TIC_00068,CUST_01687,General,Yes
TIC_00069,CUST_07061,Billing,Yes
TIC_00070,CUST_07092,Technical,Yes
TIC_00071,CUST_05313,Technical,Yes
TIC_00072,CUST_04870,Technical,Yes
TIC_00073,CUST_05406,Billing,No
TIC_00074,CUST_08225,General,Yes
TIC_00075,CUST_01903,General,Yes
TIC_00076,CUST_06674,Technical,Yes
TIC_00077,CUST_03308,Technical,Yes
TIC_00078,CUST_02538,Billing,No
TIC_00079,CUST_07897,Technical,Yes
TIC_00080,CUST_02700,General,No
TIC_00081,CUST_05712,General,Yes
TIC_00082,CUST_07853,General,Yes
TIC_00083,CUST_05334,Billing,Yes
TIC_00084,CUST_02536,Billing,Yes
TIC_00085,CUST_03927,General,Yes
TIC_00086,CUST_03070,Billing,Yes
TIC_00087,CUST_01543,General,Yes
TIC_00088,CUST_06995,General,Yes
TIC_00089,CUST_03604,Billing,Yes
TIC_00090,CUST_08812,General,Yes
TIC_00091,CUST_03455,General,Yes
TIC_00092,CUST_02987,General,No
TIC_00093,CUST_04773,Billing,Yes
TIC_00094,CUST_02560,Billing,Yes
TIC_00095,CUST_04713,General,No
TIC_00096,CUST_05343,Technical,No
TIC_00097,CUST_06611,Billing,Yes
TIC_00098,CUST_01057,General,No
TIC_00099,CUST_06692,General,Yes
TIC_00100,CUST_02581,Technical,Yes
TIC_00101,CUST_01562,General,Yes
TIC_00102,CUST_04672,Billing,Yes
TIC_00103,CUST_06565,General,Yes
TIC_00104,CUST_09228,General,Yes
TIC_00105,CUST_05421,Billing,Yes
TIC_00106,CUST_05870,Billing,Yes
TIC_00107,CUST_02443,Billing,No
TIC_00108,CUST_08966,Technical,Yes
TIC_00109,CUST_02394,Technical,Yes
TIC_00110,CUST_03960,General,Yes
TIC_00111,CUST_04857,General,Yes
TIC_00112,CUST_05447,Billing,Yes
TIC_00113,CUST_02037,Billing,Yes
TIC_00114,CUST_09716,Billing,No
TIC_00115,CUST_09678,Technical,Yes
TIC_00116,CUST_00251,General,Yes
TIC_00117,CUST_06215,General,Yes
TIC_00118,CUST_07571,Technical,Yes
TIC_00119,CUST_01332,Billing,Yes
TIC_00120,CUST_04265,Technical,Yes
TIC_00121,CUST_07338,Technical,Yes
TIC_00122,CUST_05053,Technical,Yes
TIC_00123,CUST_04155,Billing,Yes
TIC_00124,CUST_06401,Billing,Yes
TIC_00125,CUST_07527,Billing,Yes
TIC_00126,CUST_07257,Billing,Yes
TIC_00127,CUST_03182,Billing,Yes
TIC_00128,CUST_05735,Technical,Yes
TIC_00129,CUST_02103,Billing,Yes
TIC_00130,CUST_06665,Technical,Yes
TIC_00131,CUST_02953,General,Yes
TIC_00132,CUST_08046,Billing,Yes
TIC_00133,CUST_02747,General,Yes
TIC_00134,CUST_06540,Technical,No
TIC_00135,CUST_07241,Technical,Yes
TIC_00136,CUST_02551,Technical,Yes
TIC_00137,CUST_04757,Billing,Yes
TIC_00138,CUST_03752,General,Yes
TIC_00139,CUST_09206,Technical,Yes
TIC_00140,CUST_02955,Technical,Yes
TIC_00141,CUST_03812,Billing,Yes
TIC_00142,CUST_04045,Technical,Yes
TIC_00143,CUST_01654,Billing,Yes
TIC_00144,CUST_07185,Technical,Yes
TIC_00145,CUST_08167,General,Yes
TIC_00146,CUST_09344,Billing,Yes
TIC_00147,CUST_05853,General,Yes
TIC_00148,CUST_07308,Billing,No
TIC_00149,CUST_06501,General,Yes
TIC_00150,CUST_08280,General,Yes
TIC_00151,CUST_09840,Billing,Yes
TIC_00152,CUST_07324,Technical,Yes
TIC_00153,CUST_00454,Billing,Yes
TIC_00154,CUST_06763,General,Yes
TIC_00155,CUST_04167,Technical,Yes
TIC_00156,CUST_02664,General,Yes
TIC_00157,CUST_06462,Billing,Yes
TIC_00158,CUST_06187,Technical,Yes
TIC_00159,CUST_04341,Technical,Yes
TIC_00160,CUST_02726,Billing,Yes
TIC_00161,CUST_02765,General,Yes
TIC_00162,CUST_07525,Billing,Yes
TIC_00163,CUST_02948,Technical,No
TIC_00164,CUST_01992,Technical,Yes
TIC_00165,CUST_05217,Billing,Yes
TIC_00166,CUST_09204,Billing,Yes
TIC_00167,CUST_05965,Technical,Yes
TIC_00168,CUST_04879,Technical,Yes
TIC_00169,CUST_00869,General,Yes
TIC_00170,CUST_03254,Billing,Yes
TIC_00171,CUST_06756,Technical,Yes
TIC_00172,CUST_04861,Technical,Yes
TIC_00173,CUST_06775,General,Yes
TIC_00174,CUST_08851,Billing,Yes
TIC_00175,CUST_03909,Technical,Yes
TIC_00176,CUST_06351,Technical,No
TIC_00177,CUST_09850,Billing,No
TIC_00178,CUST_01265,Billing,Yes
TIC_00179,CUST_06913,Technical,Yes
TIC_00180,CUST_04069,Billing,Yes
TIC_00181,CUST_03720,General,Yes
TIC_00182,CUST_05567,Billing,Yes
TIC_00183,CUST_05230,Technical,Yes
TIC_00184,CUST_01705,Technical,Yes
TIC_00185,CUST_00397,General,Yes
TIC_00186,CUST_00323,Technical,No
TIC_00187,CUST_02328,Technical,Yes
TIC_00188,CUST_02210,General,Yes
TIC_00189,CUST_09141,Technical,Yes
TIC_00190,CUST_00519,Billing,Yes
TIC_00191,CUST_00304,Billing,Yes
TIC_00192,CUST_09242,Technical,Yes
TIC_00193,CUST_01241,Technical,Yes
TIC_00194,CUST_07529,Billing,Yes
TIC_00195,CUST_01346,Technical,Yes
TIC_00196,CUST_00236,Technical,Yes
TIC_00197,CUST_06050,Technical,Yes
TIC_00198,CUST_08878,Technical,Yes
TIC_00199,CUST_04328,Billing,Yes
TIC_00200,CUST_06147,Technical,Yes
TIC_00201,CUST_00536,General,Yes
TIC_00202,CUST_04156,Technical,Yes
TIC_00203,CUST_02735,General,Yes
TIC_00204,CUST_06600,General,Yes
TIC_00205,CUST_03486,Billing,No
TIC_00206,CUST_06616,Billing,Yes
TIC_00207,CUST_01375,Billing,Yes
TIC_00208,CUST_00735,Technical,No
TIC_00209,CUST_00147,General,Yes
TIC_00210,CUST_00166,General,Yes
TIC_00211,CUST_00174,Billing,Yes
TIC_00212,CUST_08086,Technical,Yes
TIC_00213,CUST_00839,Billing,Yes
TIC_00214,CUST_08646,General,No
TIC_00215,CUST_01199,Billing,Yes
TIC_00216,CUST_03665,Billing,Yes
TIC_00217,CUST_06982,Technical,Yes
TIC_00218,CUST_02145,Billing,Yes
TIC_00219,CUST_04658,General,No
TIC_00220,CUST_06914,General,Yes
TIC_00221,CUST_01886,General,Yes
TIC_00222,CUST_03052,General,Yes
TIC_00223,CUST_03821,Technical,Yes
TIC_00224,CUST_06873,Technical,Yes
TIC_00225,CUST_00137,Billing,Yes
TIC_00226,CUST_00665,Billing,Yes
TIC_00227,CUST_02114,Billing,No
TIC_00228,CUST_02478,Technical,Yes
TIC_00229,CUST_08132,Billing,Yes
TIC_00230,CUST_02102,General,Yes
TIC_00231,CUST_01512,Technical,No
TIC_00232,CUST_05624,Billing,Yes
TIC_00233,CUST_05697,Billing,Yes
TIC_00234,CUST_02533,Technical,No
TIC_00235,CUST_00128,Billing,Yes
TIC_00236,CUST_06458,Billing,Yes
TIC_00237,CUST_09338,Billing,Yes
TIC_00238,CUST_01198,General,Yes
TIC_00239,CUST_01370,Technical,No
TIC_00240,CUST_00693,Technical,Yes
TIC_00241,CUST_01305,Technical,Yes
TIC_00242,CUST_01060,Billing,Yes
TIC_00243,CUST_05343,Billing,Yes
TIC_00244,CUST_01712,Billing,Yes
TIC_00245,CUST_07665,General,Yes
TIC_00246,CUST_08639,General,Yes
TIC_00247,CUST_06915,General,Yes
TIC_00248,CUST_06000,General,Yes
TIC_00249,CUST_06884,General,Yes
TIC_00250,CUST_09140,Technical,Yes
TIC_00251,CUST_07472,Technical,Yes
TIC_00252,CUST_09311,General,Yes
TIC_00253,CUST_04952,Technical,Yes
TIC_00254,CUST_04037,Billing,Yes
TIC_00255,CUST_06154,Billing,Yes
TIC_00256,CUST_02358,Billing,Yes
TIC_00257,CUST_02998,Billing,Yes
TIC_00258,CUST_08991,Technical,Yes
TIC_00259,CUST_09822,Technical,Yes
TIC_00260,CUST_01586,Technical,Yes
TIC_00261,CUST_02112,General,Yes
TIC_00262,CUST_06523,General,Yes
TIC_00263,CUST_05800,Billing,No
TIC_00264,CUST_03985,General,Yes
TIC_00265,CUST_02256,General,Yes
TIC_00266,CUST_06766,Billing,Yes
TIC_00267,CUST_00129,General,Yes
TIC_00268,CUST_08506,Billing,Yes
TIC_00269,CUST_02040,General,No
TIC_00270,CUST_03251,Technical,Yes
TIC_00271,CUST_07685,Technical,No
TIC_00272,CUST_09707,Billing,Yes
TIC_00273,CUST_06726,Technical,Yes
TIC_00274,CUST_06189,General,Yes
TIC_00275,CUST_04397,General,Yes
TIC_00276,CUST_02587,General,No
TIC_00277,CUST_04257,Billing,Yes
TIC_00278,CUST_05546,Billing,Yes
TIC_00279,CUST_09775,Billing,Yes
TIC_00280,CUST_00921,Billing,Yes
TIC_00281,CUST_05257,General,Yes
TIC_00282,CUST_03724,Billing,Yes
TIC_00283,CUST_04775,General,Yes
TIC_00284,CUST_07187,Billing,Yes
TIC_00285,CUST_08472,Billing,Yes
TIC_00286,CUST_07280,Billing,No
TIC_00287,CUST_02381,Technical,Yes
TIC_00288,CUST_01111,General,Yes
TIC_00289,CUST_06775,General,No
TIC_00290,CUST_06328,General,Yes
TIC_00291,CUST_06897,Technical,No
TIC_00292,CUST_01820,Billing,Yes
TIC_00293,CUST_03234,Technical,Yes
TIC_00294,CUST_03005,General,Yes
TIC_00295,CUST_03821,Technical,Yes
TIC_00296,CUST_03473,Technical,Yes
TIC_00297,CUST_08148,Technical,Yes
TIC_00298,CUST_05308,Technical,Yes
TIC_00299,CUST_06843,General,No
TIC_00300,CUST_05467,General,Yes
TIC_00301,CUST_04130,Technical,Yes
TIC_00302,CUST_06633,Billing,No
TIC_00303,CUST_06713,Billing,Yes
TIC_00304,CUST_02272,Billing,Yes
TIC_00305,CUST_01245,Billing,Yes
TIC_00306,CUST_07891,General,Yes
TIC_00307,CUST_02638,Billing,Yes
TIC_00308,CUST_08096,Billing,Yes
TIC_00309,CUST_07886,General,Yes
TIC_00310,CUST_03953,General,Yes
TIC_00311,CUST_00655,Technical,Yes
TIC_00312,CUST_03492,General,Yes
TIC_00313,CUST_09611,Billing,Yes
TIC_00314,CUST_05718,General,Yes
TIC_00315,CUST_00838,General,Yes
TIC_00316,CUST_05497,Technical,Yes
TIC_00317,CUST_00691,General,Yes
TIC_00318,CUST_09041,Technical,Yes
TIC_00319,CUST_01320,General,Yes
TIC_00320,CUST_02594,Billing,Yes
TIC_00321,CUST_01672,General,Yes
TIC_00322,CUST_06871,General,Yes
TIC_00323,CUST_04959,Technical,Yes
TIC_00324,CUST_05988,Billing,Yes
TIC_00325,CUST_08144,Billing,Yes
TIC_00326,CUST_05435,General,Yes
TIC_00327,CUST_02285,General,Yes
TIC_00328,CUST_05173,Technical,No
TIC_00329,CUST_07026,Billing,Yes
TIC_00330,CUST_08810,Billing,Yes
TIC_00331,CUST_00483,Technical,Yes
TIC_00332,CUST_03054,Billing,Yes
TIC_00333,CUST_08214,Technical,Yes
TIC_00334,CUST_02690,Billing,Yes
TIC_00335,CUST_03170,General,Yes
TIC_00336,CUST_09293,Technical,Yes
TIC_00337,CUST_01801,General,Yes
TIC_00338,CUST_08343,General,Yes
TIC_00339,CUST_06140,Technical,Yes
TIC_00340,CUST_02606,Billing,Yes
TIC_00341,CUST_03021,Technical,Yes
TIC_00342,CUST_02066,Billing,Yes
TIC_00343,CUST_06502,General,Yes
TIC_00344,CUST_02820,General,Yes
TIC_00345,CUST_08079,Billing,No
TIC_00346,CUST_04312,Technical,Yes
TIC_00347,CUST_04811,Technical,Yes
TIC_00348,CUST_00324,Technical,Yes
TIC_00349,CUST_04088,General,Yes
TIC_00350,CUST_02287,Technical,No
TIC_00351,CUST_03812,Billing,Yes
TIC_00352,CUST_02751,Billing,Yes
TIC_00353,CUST_06136,Billing,Yes
TIC_00354,CUST_06592,Billing,Yes
TIC_00355,CUST_01757,General,Yes
TIC_00356,CUST_01090,Billing,Yes
TIC_00357,CUST_02179,Billing,Yes
TIC_00358,CUST_00360,Billing,No
TIC_00359,CUST_07980,Technical,Yes
TIC_00360,CUST_00856,Billing,Yes
TIC_00361,CUST_05834,Billing,Yes
TIC_00362,CUST_05428,Billing,Yes
TIC_00363,CUST_04445,Billing,Yes
TIC_00364,CUST_06047,Billing,Yes
TIC_00365,CUST_01635,Technical,Yes
TIC_00366,CUST_04857,Billing,Yes
TIC_00367,CUST_08549,Billing,Yes
TIC_00368,CUST_02198,Technical,Yes
TIC_00369,CUST_06946,Billing,Yes
TIC_00370,CUST_07071,Billing,Yes
TIC_00371,CUST_02368,General,Yes
TIC_00372,CUST_02793,Technical,Yes
TIC_00373,CUST_03083,Technical,Yes
TIC_00374,CUST_05319,General,No
TIC_00375,CUST_01403,Technical,Yes
TIC_00376,CUST_01014,General,Yes
TIC_00377,CUST_04152,Technical,Yes
TIC_00378,CUST_00360,Technical,Yes
TIC_00379,CUST_01835,Technical,No
TIC_00380,CUST_03009,Technical,Yes
TIC_00381,CUST_06056,Technical,Yes
TIC_00382,CUST_01816,Billing,Yes
TIC_00383,CUST_04968,General,Yes
TIC_00384,CUST_04984,Billing,Yes
TIC_00385,CUST_02547,Billing,Yes
TIC_00386,CUST_09202,General,Yes
TIC_00387,CUST_00138,Billing,Yes
TIC_00388,CUST_05967,Technical,Yes
TIC_00389,CUST_06706,General,Yes
TIC_00390,CUST_06333,General,Yes
TIC_00391,CUST_00008,Technical,Yes
TIC_00392,CUST_09046,Billing,Yes
TIC_00393,CUST_09679,General,Yes
TIC_00394,CUST_09835,General,Yes
TIC_00395,CUST_08924,General,Yes
TIC_00396,CUST_01887,Billing,Yes
TIC_00397,CUST_04915,General,Yes
TIC_00398,CUST_06419,Billing,Yes
TIC_00399,CUST_09091,Billing,No
TIC_00400,CUST_07029,Technical,Yes
TIC_00401,CUST_01373,Billing,Yes
TIC_00402,CUST_08744,Billing,Yes
TIC_00403,CUST_06472,Technical,Yes
TIC_00404,CUST_08006,General,Yes
TIC_00405,CUST_06934,Billing,Yes
TIC_00406,CUST_08986,General,Yes
TIC_00407,CUST_07963,General,Yes
TIC_00408,CUST_06606,Billing,Yes
TIC_00409,CUST_08024,Billing,Yes
TIC_00410,CUST_03675,General,Yes
TIC_00411,CUST_07549,Technical,Yes
TIC_00412,CUST_06787,Billing,No
TIC_00413,CUST_07262,General,Yes
TIC_00414,CUST_08064,Technical,Yes
TIC_00415,CUST_05904,Billing,Yes
TIC_00416,CUST_00217,General,Yes
TIC_00417,CUST_08706,Billing,Yes
TIC_00418,CUST_09897,Billing,Yes
TIC_00419,CUST_00343,Billing,Yes
TIC_00420,CUST_07630,General,No
TIC_00421,CUST_03353,General,Yes
TIC_00422,CUST_04706,Billing,No
TIC_00423,CUST_05162,General,Yes
TIC_00424,CUST_07890,Technical,Yes
TIC_00425,CUST_00136,General,Yes
TIC_00426,CUST_05896,General,Yes
TIC_00427,CUST_01936,Billing,Yes
TIC_00428,CUST_09810,Billing,Yes
TIC_00429,CUST_06584,Billing,Yes
TIC_00430,CUST_06782,Billing,Yes
TIC_00431,CUST_02951,Billing,Yes
TIC_00432,CUST_00766,Technical,Yes
TIC_00433,CUST_08072,Technical,No
TIC_00434,CUST_00831,Billing,Yes
TIC_00435,CUST_09529,Billing,No
TIC_00436,CUST_06971,Billing,Yes
TIC_00437,CUST_00679,Billing,Yes
TIC_00438,CUST_07322,Technical,Yes
TIC_00439,CUST_04024,Technical,Yes
TIC_00440,CUST_05959,Billing,Yes
TIC_00441,CUST_04044,Technical,No
TIC_00442,CUST_06372,Billing,Yes
TIC_00443,CUST_01567,General,No
TIC_00444,CUST_00741,Technical,Yes
TIC_00445,CUST_00742,Billing,Yes
TIC_00446,CUST_00296,Billing,Yes
TIC_00447,CUST_00149,Billing,Yes
TIC_00448,CUST_01456,General,Yes
TIC_00449,CUST_00722,General,Yes
TIC_00450,CUST_00760,Technical,Yes
TIC_00451,CUST_07710,Technical,Yes
TIC_00452,CUST_06204,Technical,Yes
TIC_00453,CUST_05484,Billing,Yes
TIC_00454,CUST_05106,Technical,No
