customer_id,month,logins,active_minutes
CUST_07352,2025-01,20,608
CUST_08325,2024-11,10,658
CUST_03245,2024-12,10,503
CUST_07777,2024-12,13,481
CUST_04488,2025-01,11,760
CUST_03135,2024-12,15,540
CUST_04510,2024-11,18,900
CUST_06546,2024-12,19,501
CUST_01136,2025-01,18,392
CUST_06208,2024-11,17,484
CUST_01751,2024-12,14,541
CUST_04961,2025-01,12,466
CUST_06544,2025-01,26,607
CUST_08481,2025-01,14,526
CUST_09698,2025-01,7,762
CUST_07587,2025-01,12,555
CUST_09530,2024-11,21,540
CUST_06500,2025-01,21,675
CUST_04973,2025-01,8,594
CUST_07141,2024-12,11,421
CUST_00751,2024-11,13,524
CUST_03589,2025-01,9,453
CUST_00748,2024-12,22,688
CUST_00364,2024-11,17,850
CUST_00266,2024-11,18,579
CUST_03821,2025-01,17,674
CUST_04234,2024-11,13,583
CUST_09380,2024-12,11,598
CUST_05913,2024-11,16,720
CUST_06809,2025-01,17,486
CUST_03177,2025-01,21,500
CUST_03220,2024-12,20,666
CUST_05529,2024-11,17,596
CUST_00702,2024-12,19,637
CUST_09890,2024-11,24,705
CUST_00200,2024-11,16,488
CUST_02013,2024-11,18,480
CUST_03541,2024-11,16,866
CUST_07155,2025-01,25,656
CUST_03505,2025-01,19,744
CUST_04159,2024-12,18,848
CUST_07080,2024-11,16,683
CUST_06683,2024-12,18,271
CUST_06653,2024-12,15,747
CUST_09903,2025-01,15,463
CUST_09921,2024-12,20,684
CUST_00068,2024-12,13,490
CUST_04372,2024-12,10,519
CUST_09301,2024-11,13,700
CUST_06320,2024-11,17,621
CUST_03018,2024-12,14,585
CUST_02653,2024-12,14,415
CUST_08532,2024-11,12,581
CUST_08612,2024-11,17,907
CUST_02275,2024-12,18,726
CUST_01918,2024-12,11,477
CUST_00472,2024-11,15,629
CUST_03421,2024-11,15,578
CUST_05929,2024-11,12,576
CUST_05765,2024-11,11,429
CUST_02087,2024-12,10,631
CUST_07817,2024-11,16,581
CUST_08185,2024-11,13,541
CUST_08447,2024-11,12,744
CUST_03869,2025-01,21,434
CUST_05716,2025-01,15,653
CUST_09635,2024-11,10,637
CUST_07996,2024-12,14,341
CUST_08730,2024-11,22,750
CUST_03387,2024-11,18,640
CUST_00857,2024-11,8,528
CUST_00131,2024-11,17,595
CUST_05722,2025-01,13,742
CUST_02915,2024-11,8,660
CUST_02586,2024-11,19,675
CUST_03374,2025-01,13,635
CUST_02031,2024-11,11,595
CUST_01925,2024-12,19,556
CUST_02001,2025-01,18,599
CUST_04377,2024-11,16,465
CUST_06635,2024-12,16,575
CUST_07366,2024-11,16,700
CUST_05494,2024-11,12,569
CUST_00665,2024-12,11,557
CUST_06698,2024-12,13,863
CUST_05441,2024-12,16,610
CUST_01646,2024-11,23,759
CUST_04507,2024-12,12,756
CUST_05599,2024-12,19,577
CUST_01163,2024-11,10,605
CUST_02925,2024-11,9,660
CUST_06833,2024-11,12,681
CUST_07671,2024-11,13,568
CUST_05052,2025-01,18,410
CUST_05913,2024-11,19,618
CUST_09016,2024-12,19,672
CUST_08924,2024-12,13,703
CUST_04486,2024-11,19,710
CUST_07311,2024-12,9,709
CUST_06879,2024-12,15,930
CUST_09779,2025-01,20,599
CUST_00026,2025-01,16,692
CUST_07911,2024-11,15,638
CUST_02670,2025-01,16,485
CUST_05627,2024-12,12,550
CUST_00883,2024-11,14,584
CUST_05910,2024-11,7,630
CUST_00126,2024-12,12,589
CUST_01479,2024-12,15,552
CUST_08510,2024-12,12,810
CUST_02488,2024-12,23,576
CUST_00340,2025-01,8,709
CUST_04873,2024-12,17,630
CUST_06856,2024-11,14,614
CUST_06101,2025-01,9,611
CUST_01605,2024-11,6,376
CUST_05277,2024-12,16,427
CUST_05836,2024-12,24,801
CUST_02408,2024-11,18,388
CUST_02839,2024-11,15,553
CUST_01108,2024-12,17,525
CUST_04454,2025-01,11,672
CUST_06870,2024-12,17,359
CUST_07554,2025-01,15,803
CUST_07414,2024-12,12,757
CUST_01925,2025-01,16,865
CUST_06094,2024-12,14,739
CUST_07633,2024-11,16,383
CUST_09270,2024-11,13,466
CUST_04400,2024-12,15,445
CUST_01976,2024-12,14,271
CUST_04629,2025-01,18,640
CUST_02082,2025-01,15,670
CUST_09355,2024-12,14,713
CUST_09206,2025-01,10,315
CUST_03444,2024-11,11,537
CUST_00758,2024-11,13,548
CUST_03094,2024-12,19,542
CUST_04379,2024-11,14,464
CUST_00112,2025-01,13,651
CUST_02420,2024-12,15,532
CUST_05283,2024-11,14,523
CUST_00821,2024-12,19,501
CUST_03639,2024-11,18,832
CUST_05764,2024-11,17,500
CUST_01819,2024-11,11,553
CUST_00276,2024-11,20,436
CUST_09458,2024-12,10,777
CUST_06631,2024-11,13,637
CUST_08011,2024-11,16,819
CUST_00275,2024-11,8,779
CUST_06333,2024-12,15,790
CUST_09522,2024-11,20,648
CUST_01893,2024-11,15,403
CUST_00592,2024-11,20,474
CUST_01387,2024-12,15,486
CUST_03995,2024-11,23,589
CUST_07093,2024-11,8,534
CUST_05072,2024-12,18,655
CUST_09726,2025-01,15,732
CUST_05133,2024-12,18,607
CUST_06699,2025-01,15,594
CUST_09255,2025-01,13,580
CUST_03105,2025-01,16,739
CUST_06890,2025-01,25,647
CUST_05905,2025-01,14,676
CUST_01903,2024-12,11,529
CUST_03361,2024-11,10,683
CUST_09046,2024-12,21,706
CUST_02998,2024-12,12,509
CUST_01341,2024-11,20,645
CUST_01861,2024-11,19,657
CUST_02455,2024-12,12,634
CUST_03792,2024-12,8,651
CUST_05864,2024-12,20,532
CUST_06991,2024-12,13,529
CUST_05896,2024-11,17,716
CUST_01308,2025-01,14,529
CUST_08131,2024-12,14,519
CUST_08089,2025-01,16,512
CUST_07797,2025-01,11,713
CUST_09893,2024-12,10,710
CUST_03213,2024-12,20,735
CUST_08438,2024-11,13,560
CUST_02224,2025-01,16,449
CUST_02858,2024-12,15,526
CUST_01367,2024-12,14,504
CUST_05144,2024-11,11,499
CUST_00702,2024-12,12,550
CUST_01550,2025-01,19,535
CUST_06671,2024-12,13,537
CUST_01333,2024-12,16,646
CUST_01798,2024-11,14,462
CUST_03455,2025-01,17,579
CUST_03365,2025-01,12,466
CUST_08855,2025-01,13,566
CUST_02627,2024-12,18,519
CUST_02084,2024-12,11,563
CUST_04973,2024-12,12,625
CUST_02149,2025-01,15,640
CUST_03426,2025-01,16,404
CUST_06608,2025-01,12,629
CUST_06837,2025-01,21,409
CUST_00479,2024-12,18,828
CUST_03730,2024-11,16,282
CUST_06359,2025-01,12,586
CUST_07142,2024-11,12,440
CUST_01350,2025-01,18,576
CUST_08891,2024-11,16,459
CUST_02647,2024-11,11,704
CUST_05366,2024-11,19,586
CUST_05108,2024-12,14,356
CUST_01721,2024-11,9,596
CUST_03159,2024-12,18,636
CUST_00333,2024-11,14,658
CUST_08855,2024-12,17,480
CUST_08970,2025-01,18,632
CUST_01223,2025-01,12,575
CUST_03454,2024-11,15,574
CUST_05877,2024-12,16,613
CUST_06359,2025-01,20,485
CUST_09132,2024-12,12,471
CUST_02633,2024-12,8,623
CUST_06815,2025-01,18,626
CUST_05374,2024-12,14,515
CUST_01016,2024-12,16,612
CUST_04533,2024-12,12,797
CUST_00005,2025-01,13,946
CUST_03987,2024-12,13,565
CUST_06719,2025-01,16,598
CUST_03792,2024-12,16,559
CUST_08704,2024-12,11,550
CUST_04964,2025-01,16,845
CUST_00974,2025-01,12,445
CUST_09168,2024-12,9,501
CUST_02733,2024-12,19,487
CUST_00620,2024-11,11,695
CUST_07595,2024-12,27,674
CUST_08785,2025-01,14,618
CUST_09611,2024-12,15,608
CUST_05852,2024-11,11,588
CUST_08814,2024-12,13,578
CUST_07303,2024-11,12,340
CUST_04529,2025-01,14,624
CUST_03919,2025-01,15,644
CUST_08509,2024-12,10,542
CUST_02582,2024-11,17,692
